,Basis,HP,Momentum,Skewness,Basis-Mom
1/31/2008,0.043200432,0.002822167,0.044711829,0.020641169,-0.013242872
2/29/2008,0.078175143,0.070232986,0.065478195,0.042240417,0.04187937
3/31/2008,0.004989713,-0.02521859,-0.039372931,0.055095463,0.019188325
4/30/2008,0.005506912,-0.010929494,-0.017879597,0.019901269,0.01231441
5/30/2008,0.024301447,0.007105365,-0.008600695,0.005863944,0.017209616
6/30/2008,-0.020136164,0.040805329,0.0112476,0.024348686,0.026161551
7/31/2008,-0.014551315,-0.074246207,-0.01564249,0.004122402,-0.077806804
8/29/2008,-0.035875184,-0.017248969,-0.041401854,0.023809817,-0.017829433
9/30/2008,-0.022122128,0.003590587,-0.052615452,0.028027397,0.003242384
10/31/2008,-0.02741288,-0.058198737,0.001815862,0.032457278,-0.035261546
11/28/2008,-0.008183345,-0.004738059,0.03639861,-0.048301781,-0.010814338
12/31/2008,0.056387748,0.064965973,0.066321057,-0.065538032,0.024584772
1/30/2009,0.028990951,-0.021455524,0.06518754,-0.011127477,0.018850677
2/27/2009,-0.007224633,-0.00314687,0.026716801,0.012049605,-0.005916213
3/31/2009,0.010974929,-0.009696432,0.006524565,0.017060234,0.011043943
4/30/2009,0.057244436,0.007999587,-0.00116685,0.000930807,-0.020474431
5/29/2009,0.014351335,-0.035315139,0.026568145,0.027984481,-0.064257954
6/30/2009,0.05627989,-0.000132861,0.00992527,0.027683203,-0.018886116
7/31/2009,0.031899088,0.039409584,0.02794665,0.016696234,0.018920406
8/31/2009,0.025632014,0.079338244,0.066062689,0.059588407,0.036858769
9/30/2009,-0.067371188,-0.020448039,0.006491298,-0.009081513,-0.027068244
10/30/2009,0.016685857,-0.010438978,0.005955639,0.024006692,0.015808352
11/30/2009,0.009254886,0.037834097,0.035727587,0.025995099,0.0157987
12/31/2009,-0.011689152,-0.004268738,-0.002360021,-0.031302015,-0.000147857
1/29/2010,-0.01502908,0.012730808,0.027472716,-0.001286533,-0.031063668
2/26/2010,-0.049116118,0.00571411,-0.002806871,0.017164216,0.022657915
3/31/2010,-0.029693685,0.038753426,0.039832556,-0.014872899,0.039535239
4/30/2010,-0.008461408,0.008240598,0.018907952,-0.015303451,0.019058452
5/31/2010,0.006776081,-0.051554085,-0.021320893,0.032598871,0.017705123
6/30/2010,-0.035767125,-0.029803119,-0.018349176,-0.007623115,0.011767824
7/30/2010,0.031660682,-0.024828618,-0.036630743,-0.003648692,0.028028258
8/31/2010,-0.02051148,0.012841829,0.030806779,-0.010250941,-0.01623424
9/30/2010,0.007466235,0.008076191,0.035768018,0.011418523,-0.00307662
10/29/2010,0.006702142,0.030366074,0.026821602,0.002687524,-0.008790773
11/30/2010,0.020974747,0.018838893,0.016902604,0.02036284,0.019894483
12/31/2010,0.009742226,0.021468587,0.002030583,-0.031206307,0.017278139
1/31/2011,0.007953461,-0.000960285,-0.019285967,-0.011594729,-4.26E-05
2/28/2011,0.016593933,0.043296775,0.024407051,0.001521711,0.004040242
3/31/2011,-0.019169475,-0.010706837,-0.009094657,0.022684582,-0.007253046
4/29/2011,0.023651299,0.006140427,0.023302488,0.034235704,0.010575131
5/31/2011,-0.005135615,-0.007477395,0.002562042,-0.025328577,0.042350761
6/30/2011,0.030596008,-0.012499887,-0.003376645,0.032518875,0.050614175
7/29/2011,-0.049857305,-0.005876535,0.035167722,-0.008888508,-0.027008586
8/31/2011,-0.065631241,-0.012432739,0.009045496,0.014657017,-0.036809832
9/30/2011,0.06522294,-0.020127963,-0.05195407,-0.004104665,0.061114632
10/31/2011,0.009261446,-0.004349678,0.031031763,0.026433379,-0.006161054
11/30/2011,0.040022315,0.02248009,0.011490157,0.006344542,0.012874363
12/30/2011,-0.003704264,-0.027245624,-0.007311916,0.006785046,-0.009088561
1/31/2012,-0.003919812,0.060234148,0.060277322,0.023821582,0.050626001
2/29/2012,-0.002215332,-0.005504765,-0.002795966,0.011826914,-0.003493396
3/30/2012,0.018030787,0.021417556,0.011414514,0.033794513,0.00775842
4/30/2012,-0.013212543,-0.0256602,-0.022091624,0.031412066,-0.041556286
5/31/2012,-0.033640582,-0.026160609,-0.043215027,-0.010433814,-0.031393613
6/29/2012,0.010555387,-0.014039363,-0.017391777,0.013705712,-0.005964988
7/31/2012,0.044111233,0.029792213,-0.025427811,0.039008957,-0.00017386
8/31/2012,-0.023741574,0.015864486,0.046920478,0.019612463,0.021203377
9/28/2012,-0.002456322,-0.035622627,0.007078215,-0.011708193,-0.027313378
10/31/2012,-0.020095206,-0.001389757,-0.014645432,0.006972561,-0.009217047
11/30/2012,0.008401253,-0.016446864,0.02002644,0.000389058,0.022293243
12/31/2012,0.015063303,-0.005963437,-0.004000076,0.026770037,0.011645395
1/31/2013,-0.018271149,-0.005674058,0.019293399,-0.003987012,-0.006962797
2/28/2013,-0.009239855,0.006469151,0.00429061,-0.00235333,-0.006608564
3/29/2013,-0.001618534,0.007744163,0.000230514,0.02465642,0.002705324
4/30/2013,-0.005273888,0.001004128,-0.021666226,-0.013061806,0.0049123
5/31/2013,0.021131562,0.011351406,0.011904331,-0.02013801,0.027854516
6/28/2013,0.053109687,0.008997866,-0.023288844,-0.021447411,0.009633298
7/31/2013,-0.040957165,0.029322889,0.03312702,0.019047256,0.026252893
8/30/2013,0.033697853,-0.008233998,0.022773548,-0.015928192,0.02014796
9/30/2013,-0.023307967,-0.004522012,-0.018062393,0.033460299,-0.029692128
10/31/2013,0.011458462,0.003105872,0.003532227,-0.006962751,0.024257799
11/29/2013,0.022324675,0.030037299,-0.004402935,-0.00338339,0.022511912
12/31/2013,0.007653611,0.007575033,0.00026004,0.01297221,-0.015022427
1/31/2014,0.140195835,0.032594181,-0.018500858,0.036633564,-0.012456604
2/28/2014,0.073652455,0.026384129,-0.010587464,-0.068468689,0.067957055
3/31/2014,-0.037803845,-0.011322096,0.000159941,0.015015093,-0.034726051
4/30/2014,0.002747304,0.011772726,-0.006483569,-0.015331847,0.014440138
5/30/2014,0.012686836,0.02257115,0.024312248,0.017704421,0.028580042
6/30/2014,-0.030553474,-0.005012849,-0.000279032,-0.017296339,-0.005306211
7/31/2014,-0.061998702,-0.025850668,0.025250258,0.002150672,-0.061302739
8/29/2014,0.015239569,0.016220105,0.002947561,0.01360446,0.021808147
9/30/2014,-0.013946757,0.020899871,-0.01528512,-0.031269883,-0.000638362
10/31/2014,-0.035210301,-0.017107487,-0.023571199,0.0153099,0.024046124
11/28/2014,-0.006935795,-0.002784811,-0.006488256,-0.01459873,-0.016320453
12/31/2014,0.128126005,-0.026805791,0.024503605,0.004129111,-0.073610271
1/30/2015,0.010871786,-0.002779671,0.02130863,-0.014445252,-0.017462707
2/27/2015,0.037486655,-0.041641467,-0.008154673,0.055227427,0.000980366
3/31/2015,0.004857708,0.019840374,-0.018470675,0.004387101,-0.004518042
4/30/2015,-0.032065773,-0.034682971,0.023764238,-0.00437593,-0.011484297
5/29/2015,0.017648231,0.023274623,0.006975961,-0.014853669,0.016642255
6/30/2015,0.1000496,0.025412889,-0.043239264,-0.051937193,0.08362548
7/31/2015,-0.004321601,0.009381481,-0.014124488,0.019337935,0.002421495
8/31/2015,0.0206325,-0.016226962,0.004358236,-0.002307719,-0.009498629
9/30/2015,-0.021612156,0.008775097,-0.01182522,-0.014111644,0.018071864
10/30/2015,-0.007765008,0.015398101,0.030072971,-0.013157974,0.022319631
11/30/2015,0.037618497,0.026566616,-0.028605731,-0.02265667,0.030598758
12/31/2015,-0.019447371,-0.015196981,-0.002719397,0.05229333,-0.004770675
1/29/2016,-0.020164977,0.016542541,-0.010861467,-0.019810558,0.019633218
2/29/2016,0.012881018,0.050086694,0.041349032,0.015902751,0.064188515
3/31/2016,-0.003134307,-0.012559949,-0.000643204,0.001321111,-0.008897603
4/29/2016,-0.018521417,-0.035775755,0.037775198,-0.021511692,-0.008152439
5/31/2016,0.028039954,0.024140302,-0.024210254,-0.050633757,0.022848182
